Month,actual_mean_temp,average_precipitation
7,83,0.13
7,86,0.13
7,83,0.12
7,73,0.13
7,74,0.13
7,75,0.13
7,84,0.13
7,84,0.14
7,80,0.15
7,81,0.14
7,80,0.14
7,80,0.15
7,82,0.14
7,82,0.15
7,82,0.15
7,78,0.15
7,75,0.15
7,75,0.15
7,75,0.14
7,76,0.14
7,76,0.14
7,79,0.14
7,83,0.14
7,77,0.14
7,74,0.14
7,75,0.15
7,81,0.15
7,77,0.14
7,70,0.14
7,71,0.14
7,76,0.14
8,77,0.13
8,73,0.12
8,72,0.12
8,78,0.12
8,80,0.12
8,76,0.11
8,75,0.12
8,73,0.12
8,77,0.12
8,78,0.12
8,76,0.11
8,74,0.11
8,77,0.11
8,71,0.12
8,69,0.11
8,71,0.12
8,75,0.11
8,73,0.11
8,77,0.12
8,79,0.12
8,76,0.11
8,74,0.12
8,69,0.12
8,74,0.1
8,75,0.11
8,80,0.1
8,78,0.11
8,74,0.09
8,71,0.1
8,71,0.1
8,83,0.1
9,82,0.1
9,84,0.12
9,78,0.12
9,78,0.12
9,81,0.12
9,83,0.11
9,75,0.12
9,71,0.12
9,72,0.12
9,75,0.11
9,76,0.13
9,71,0.12
9,66,0.13
9,61,0.13
9,63,0.13
9,67,0.13
9,66,0.13
9,65,0.14
9,65,0.13
9,68,0.13
9,72,0.13
9,65,0.13
9,61,0.12
9,64,0.14
9,62,0.13
9,67,0.13
9,72,0.14
9,73,0.13
9,70,0.14
9,71,0.13
10,68,0.11
10,68,0.11
10,66,0.12
10,60,0.1
10,52,0.12
10,60,0.11
10,67,0.1
10,66,0.11
10,61,0.11
10,57,0.11
10,54,0.1
10,55,0.11
10,61,0.1
10,72,0.11
10,72,0.1
10,66,0.1
10,65,0.1
10,63,0.1
10,51,0.09
10,51,0.1
10,61,0.1
10,55,0.1
10,54,0.1
10,62,0.09
10,58,0.1
10,59,0.09
10,57,0.09
10,63,0.1
10,60,0.1
10,53,0.1
10,47,0.1
11,49,0.1
11,46,0.1
11,48,0.1
11,60,0.09
11,61,0.1
11,53,0.09
11,46,0.1
11,42,0.09
11,50,0.09
11,50,0.09
11,57,0.09
11,58,0.08
11,41,0.09
11,39,0.09
11,38,0.1
11,39,0.09
11,46,0.1
11,34,0.1
11,28,0.11
11,41,0.1
11,32,0.1
11,35,0.11
11,48,0.1
11,64,0.11
11,58,0.11
11,42,0.1
11,36,0.11
11,34,0.11
11,36,0.12
11,51,0.12
12,54,0.12
12,41,0.13
12,44,0.12
12,39,0.13
12,41,0.12
12,46,0.13
12,40,0.12
12,32,0.12
12,41,0.13
12,40,0.13
12,36,0.12
12,38,0.13
12,39,0.12
12,42,0.12
12,42,0.11
12,43,0.12
12,46,0.11
12,38,0.11
12,38,0.11
12,34,0.11
12,35,0.11
12,36,0.11
12,48,0.12
12,56,0.11
12,52,0.11
12,42,0.11
12,45,0.1
12,48,0.1
12,43,0.1
12,33,0.09
12,29,0.09
1,35,0.09
1,37,0.1
1,36,0.09
1,50,0.1
1,37,0.1
1,20,0.09
1,19,0.1
1,15,0.09
1,29,0.1
1,21,0.1
1,28,0.1
1,36,0.1
1,30,0.1
1,26,0.1
1,33,0.1
1,34,0.1
1,26,0.1
1,34,0.1
1,38,0.09
1,38,0.1
1,31,0.1
1,36,0.09
1,34,0.1
1,36,0.1
1,40,0.1
1,31,0.09
1,28,0.1
1,28,0.09
1,28,0.11
1,31,0.1
1,22,0.1
2,30,0.1
2,32,0.1
2,25,0.09
2,35,0.1
2,29,0.1
2,23,0.1
2,33,0.09
2,42,0.09
2,33,0.1
2,35,0.09
2,33,0.09
2,31,0.09
2,17,0.09
2,25,0.09
2,15,0.1
2,10,0.09
2,21,0.09
2,22,0.1
2,16,0.09
2,10,0.09
2,22,0.09
2,40,0.1
2,25,0.1
2,16,0.09
2,27,0.1
2,29,0.1
2,27,0.09
2,24,0.1
3,27,0.1
3,35,0.11
3,30,0.1
3,38,0.11
3,30,0.1
3,19,0.11
3,26,0.12
3,38,0.12
3,45,0.11
3,46,0.12
3,53,0.11
3,45,0.11
3,40,0.12
3,45,0.12
3,44,0.13
3,44,0.13
3,53,0.13
3,39,0.13
3,37,0.13
3,35,0.13
3,42,0.14
3,41,0.13
3,35,0.12
3,36,0.14
3,38,0.13
3,53,0.13
3,44,0.14
3,34,0.13
3,36,0.13
3,46,0.13
3,48,0.13
4,45,0.13
4,52,0.14
4,60,0.13
4,53,0.13
4,53,0.13
4,57,0.12
4,57,0.12
4,42,0.12
4,41,0.12
4,49,0.13
4,55,0.12
4,53,0.12
4,60,0.12
4,58,0.12
4,59,0.12
4,61,0.11
4,65,0.12
4,68,0.11
4,58,0.11
4,63,0.12
4,59,0.11
4,60,0.11
4,48,0.12
4,48,0.11
4,48,0.11
4,55,0.11
4,54,0.12
4,61,0.11
4,64,0.12
4,61,0.1
5,57,0.1
5,61,0.11
5,65,0.11
5,70,0.11
5,74,0.11
5,67,0.12
5,69,0.11
5,69,0.12
5,70,0.11
5,76,0.12
5,77,0.12
5,77,0.11
5,63,0.12
5,61,0.12
5,65,0.12
5,73,0.13
5,76,0.12
5,74,0.12
5,72,0.12
5,67,0.13
5,55,0.13
5,65,0.13
5,61,0.13
5,67,0.12
5,75,0.12
5,77,0.13
5,80,0.12
5,80,0.12
5,77,0.12
5,78,0.13
5,81,0.13
6,67,0.12
6,56,0.12
6,63,0.12
6,64,0.12
6,66,0.13
6,73,0.12
6,68,0.13
6,75,0.12
6,78,0.12
6,76,0.12
6,81,0.11
6,85,0.11
6,83,0.11
6,81,0.12
6,82,0.11
6,83,0.11
6,78,0.1
6,70,0.11
6,79,0.1
6,79,0.11
6,82,0.11
6,82,0.11
6,83,0.11
6,77,0.11
6,76,0.11
6,76,0.12
6,67,0.1
6,73,0.11
6,72,0.12
6,77,0.12
